dpi	animal	weight
11	55679	25
21	55679	26.2
33	55679	26.7
41	55679	27.2
52	55679	27.6
62	55679	26.2
73	55679	27.6
80	55679	27.8
89	55679	27
99	55679	27.6
108	55679	28
118	55679	27.5
130	55679	27.8
139	55679	27.8
150	55679	28.2
160	55679	29.3
171	55679	29.2
181	55679	29.9
192	55679	29.4
202	55679	28
213	55679	29.1
223	55679	29.3
234	55679	29.2
244	55679	29.1
255	55679	29.3
11	55680	26.2
21	55680	26.9
33	55680	27.5
41	55680	28.1
52	55680	28.5
62	55680	27
73	55680	27.6
80	55680	27.1
89	55680	26.7
99	55680	28
108	55680	27.9
118	55680	27.8
130	55680	28
139	55680	27.5
150	55680	27.6
160	55680	28.4
171	55680	28.9
181	55680	28.3
192	55680	28.8
202	55680	27.9
213	55680	28.7
223	55680	28.4
234	55680	28.2
244	55680	29
255	55680	29.3
11	55710	21.2
21	55710	23.7
33	55710	23.4
41	55710	23.7
52	55710	25.4
62	55710	24.2
73	55710	23.5
80	55710	23.4
89	55710	23.2
99	55710	24.2
108	55710	24.7
118	55710	25.2
130	55710	24.3
139	55710	23.8
150	55710	25.8
160	55710	24.2
171	55710	25.3
181	55710	25.1
192	55710	24.9
202	55710	25.5
11	55711	22.2
21	55711	23.7
33	55711	23.4
41	55711	23.7
52	55711	25.4
62	55711	24.5
73	55711	24.8
80	55711	24.6
89	55711	23.4
99	55711	24.5
108	55711	25.2
118	55711	25.5
130	55711	25.4
139	55711	25.4
150	55711	25.6
160	55711	25.9
171	55711	25.8
181	55711	25.8
192	55711	25.8
202	55711	25.4
213	55711	25.5
223	55711	26.6
234	55711	25.4
244	55711	25.8
255	55711	25.9
11	55712	21.4
21	55712	22.9
33	55712	23
41	55712	23
52	55712	22.4
62	55712	23
73	55712	25.6
80	55712	24.5
89	55712	24.4
99	55712	25.1
108	55712	25.4
118	55712	24.5
130	55712	24.1
139	55712	24.8
150	55712	25.2
160	55712	25.6
171	55712	25.1
181	55712	25.6
192	55712	26.1
202	55712	26.1
213	55712	26.2
223	55712	27.6
234	55712	26.6
244	55712	27.1
255	55712	27
11	55727	22.1
21	55727	22.4
33	55727	22.8
41	55727	22.8
52	55727	23.6
62	55727	23.4
73	55727	23.4
80	55727	23.7
89	55727	23.7
99	55727	24.4
108	55727	24.3
118	55727	24.4
130	55727	24.4
139	55727	23.7
150	55727	25.3
160	55727	25
171	55727	25.1
181	55727	25
192	55727	25.1
202	55727	25
213	55727	24.7
223	55727	25.4
234	55727	24.7
244	55727	25.1
255	55727	25.3
11	55770	23.4
21	55770	24.3
33	55770	23.9
41	55770	25.2
52	55770	26.2
62	55770	24.4
73	55770	26.9
80	55770	26
89	55770	25.5
99	55770	27
108	55770	26.7
118	55770	26.6
130	55770	27.2
139	55770	26.4
150	55770	27.4
160	55770	28
171	55770	29
181	55770	28
192	55770	27.8
202	55770	27.9
213	55770	28
223	55770	28.7
234	55770	28.5
244	55770	29.1
255	55770	29.3
11	55773	22.1
21	55773	23
33	55773	24
41	55773	23.4
52	55773	24.4
62	55773	23.5
73	55773	24.9
80	55773	24.8
89	55773	24.2
99	55773	25.3
108	55773	25.7
118	55773	25.7
130	55773	26
139	55773	26.3
150	55773	25.8
160	55773	24.5
171	55773	25.8
181	55773	25.3
192	55773	26.3
202	55773	26
213	55773	26.6
223	55773	26.5
234	55773	26.5
244	55773	26.2
255	55773	27.2
11	55684	24.6
21	55684	24.6
33	55684	25.1
41	55684	25.3
52	55684	27.3
62	55684	26.1
73	55684	26.6
80	55684	26.8
89	55684	26.5
99	55684	27.2
108	55684	27.7
118	55684	28
130	55684	27.1
139	55684	27.9
150	55684	28.8
160	55684	28.8
171	55684	28.7
181	55684	29.9
192	55684	29.8
202	55684	30.4
213	55684	29.8
223	55684	29.6
234	55684	30.4
244	55684	30.1
255	55684	29.8
11	55704	22.8
21	55704	23.6
33	55704	24.8
41	55704	24.8
52	55704	26.6
62	55704	24.8
73	55704	25
80	55704	24.9
89	55704	25.9
99	55704	26.1
108	55704	26.9
118	55704	27.1
130	55704	26.9
139	55704	26.3
150	55704	27.4
160	55704	26.2
171	55704	27.4
181	55704	29.6
192	55704	28.1
202	55704	29
213	55704	28.4
223	55704	28.1
234	55704	28.4
244	55704	28.3
255	55704	28.4
11	55705	21.7
21	55705	22.6
33	55705	22.8
41	55705	24.6
52	55705	24.9
62	55705	25
73	55705	25.1
80	55705	25.8
89	55705	25
99	55705	27.1
108	55705	27.3
118	55705	28
130	55705	27
139	55705	28.4
150	55705	28.9
160	55705	28
171	55705	28.7
181	55705	29.4
192	55705	30
202	55705	29.6
213	55705	29.9
223	55705	29.2
234	55705	30.8
244	55705	29.5
255	55705	30.1
11	55713	20.7
21	55713	21.3
33	55713	21.9
41	55713	22.1
52	55713	23.8
62	55713	22.5
73	55713	22
89	55713	21.6
99	55713	23.5
108	55713	24.3
118	55713	23.9
130	55713	23.7
139	55713	21.1
150	55713	24.6
160	55713	24.4
171	55713	23.8
181	55713	24.2
192	55713	25.1
202	55713	24.2
213	55713	23.8
223	55713	24.4
234	55713	24.4
244	55713	24.1
255	55713	24.4
11	55739	22.2
21	55739	22.3
33	55739	22.5
41	55739	22.4
52	55739	24.3
62	55739	22.9
73	55739	24.3
80	55739	24.1
89	55739	23
99	55739	25.1
108	55739	25.1
118	55739	26.3
130	55739	25.6
139	55739	25
150	55739	25.9
160	55739	24.6
171	55739	25.3
181	55739	25.5
192	55739	26
202	55739	26.8
213	55739	26.7
223	55739	25.9
234	55739	26.3
244	55739	26.6
255	55739	26.1
11	55771/2	22.8
21	55771/2	23.7
33	55771/2	24.2
41	55771/2	24.7
52	55771/2	25.5
62	55771/2	23.1
73	55771/2	24.3
80	55771/2	26.5
89	55771/2	25
99	55771/2	25.6
108	55771/2	26.3
118	55771/2	27.1
130	55771/2	25.8
139	55771/2	26.7
150	55771/2	27.2
160	55771/2	26.7
171	55771/2	27.7
181	55771/2	27.8
192	55771/2	28.3
202	55771/2	27.8
213	55771/2	27.5
223	55771/2	28.1
234	55771/2	27.5
244	55771/2	28.1
255	55771/2	28.3
11	55683	23.3
21	55683	26
33	55683	25.7
41	55683	24.4
52	55683	26.7
62	55683	25.7
73	55683	27.1
80	55683	26.8
89	55683	24.7
94	55683	19.1
11	55686	22
21	55686	25.1
33	55686	25.9
41	55686	26
52	55686	26.5
62	55686	25.6
73	55686	25.7
80	55686	26.8
89	55686	26.8
11	55697	22.2
21	55697	23
33	55697	24.6
41	55697	23.6
52	55697	25.1
62	55697	24.5
73	55697	24.4
80	55697	24.3
89	55697	23.8
11	55723	17.9
21	55723	18.1
33	55723	19.1
41	55723	19.2
52	55723	20.2
62	55723	20.3
73	55723	20.5
80	55723	20.1
89	55723	20
11	55724	18.9
21	55724	20
33	55724	20.1
41	55724	21.2
52	55724	20.5
62	55724	22
73	55724	22.1
80	55724	21.6
89	55724	21.7
11	55734	22.9
21	55734	23.7
33	55734	23.7
41	55734	24.3
52	55734	24.4
62	55734	24.4
73	55734	25.3
80	55734	23.9
89	55734	23.2
11	55746	22.6
21	55746	22.1
33	55746	22.7
41	55746	21.7
52	55746	23.4
62	55746	22.9
73	55746	23.6
80	55746	23.8
89	55746	25.3
11	55752	23.2
21	55752	25.5
33	55752	23.9
41	55752	24.4
52	55752	24.2
62	55752	24.3
73	55752	24.5
89	55752	27.2
99	55752	27.6
108	55752	26.1
118	55752	28.6
130	55752	28.6
139	55752	28.1
150	55752	29.1
160	55752	30
171	55752	31.3
181	55752	31.7
189	55752	27.2
11	55769	24.3
21	55769	25.6
33	55769	25
41	55769	25.3
52	55769	26
62	55769	25.8
73	55769	25.6
80	55769	25.5
89	55769	26.1
11	55682	25.2
21	55682	27.2
33	55682	27.7
41	55682	27.2
52	55682	28.6
62	55682	28
73	55682	28.5
80	55682	28.4
89	55682	27.5
99	55682	27.2
108	55682	29.4
118	55682	31.5
130	55682	31.7
139	55682	31.2
150	55682	32.7
160	55682	32.7
171	55682	33.5
181	55682	32.9
192	55682	32
202	55682	32.2
213	55682	30.8
223	55682	28.3
234	55682	21.9
11	55687	23
21	55687	24.3
33	55687	24.9
41	55687	25
52	55687	25.3
62	55687	25.7
73	55687	26.1
80	55687	26.4
89	55687	23.9
99	55687	18.8
11	55689	22.9
21	55689	24
33	55689	24.3
41	55689	25.1
52	55689	24.6
62	55689	25
73	55689	25.2
80	55689	25.6
89	55689	24.4
99	55689	21.6
101	55689	19.5
11	55726	22.8
21	55726	23.6
33	55726	24.9
41	55726	24.4
52	55726	25.9
62	55726	26.2
73	55726	25.8
80	55726	26.3
89	55726	25.6
99	55726	23
108	55726	26.8
118	55726	29.8
130	55726	30
139	55726	30.9
150	55726	32.7
160	55726	32.4
171	55726	34
181	55726	33.7
192	55726	33.8
202	55726	33.4
213	55726	29.8
223	55726	26.4
234	55726	22.1
244	55726	23.2
252	55726	19.2
11	55736	22.5
21	55736	22.9
33	55736	23.5
41	55736	23.7
52	55736	24.1
62	55736	23.3
73	55736	23.7
80	55736	23.3
89	55736	23.3
99	55736	23.7
108	55736	24.7
118	55736	25.1
130	55736	25.2
139	55736	25
150	55736	28.7
160	55736	27
171	55736	29.3
181	55736	29.2
192	55736	28.6
202	55736	27
213	55736	25.5
223	55736	24.4
234	55736	22.1
11	55748	24.6
21	55748	24.4
33	55748	24.4
41	55748	24.5
52	55748	26.2
62	55748	27.7
73	55748	26.5
80	55748	27.2
89	55748	26.3
99	55748	26
108	55748	28
118	55748	29.6
130	55748	29.5
139	55748	25
150	55748	31.1
160	55748	31.9
171	55748	33
181	55748	33.6
192	55748	33.9
202	55748	34.7
213	55748	34.2
223	55748	32.3
234	55748	30
244	55748	28.3
254	55748	23
11	55860	20.4
21	55860	22
33	55860	21.9
41	55860	22.7
52	55860	23.1
62	55860	25.3
73	55860	24.3
89	55860	23
99	55860	22.6
108	55860	24
118	55860	25.5
130	55860	25.1
139	55860	24.9
150	55860	26.1
160	55860	26.7
171	55860	27
181	55860	27.6
192	55860	25.5
202	55860	25.4
11	55861	22.1
21	55861	22.5
33	55861	23.2
41	55861	23.9
52	55861	23.9
62	55861	24.2
73	55861	24.4
89	55861	23.6
99	55861	22.8
108	55861	24.6
118	55861	26.6
130	55861	26.2
139	55861	26.2
150	55861	27.8
160	55861	29.7
171	55861	29.7
181	55861	30.5
192	55861	30.2
202	55861	29
213	55861	24.7
223	55861	25.7
234	55861	25.9
244	55861	25.8
11	55864	22.1
21	55864	22.5
33	55864	23.7
41	55864	23.1
52	55864	23.4
62	55864	23.1
73	55864	24.4
89	55864	22.2
99	55864	23.4
108	55864	24.9
118	55864	26
130	55864	26.5
139	55864	25.3
150	55864	27.3
160	55864	27.5
171	55864	29.2
181	55864	29.4
192	55864	26.4
202	55864	25.6
213	55864	25
223	55864	25
11	55688	24
21	55688	24.9
33	55688	26.3
41	55688	27
52	55688	25.9
62	55688	26.1
73	55688	26
80	55688	26
89	55688	24.1
99	55688	22.9
108	55688	24
118	55688	26.2
130	55688	25.3
139	55688	23.9
150	55688	18.6
11	55690	19.5
21	55690	20.4
33	55690	21.5
41	55690	21.7
52	55690	21.5
62	55690	20.8
73	55690	21.2
80	55690	21.8
89	55690	21.6
11	55696	23.3
21	55696	23.3
33	55696	23.4
41	55696	23
52	55696	23.7
62	55696	23.4
73	55696	24.4
80	55696	25.3
89	55696	24.5
99	55696	23
108	55696	25.3
118	55696	27.5
130	55696	27.5
139	55696	25
150	55696	19.6
11	55735	23.9
21	55735	24.6
33	55735	26.1
41	55735	27.3
52	55735	27.8
62	55735	27.9
73	55735	28.1
80	55735	25.8
89	55735	26.4
11	55738	22.3
21	55738	22.6
33	55738	23.5
41	55738	23.5
52	55738	24.4
62	55738	23.9
73	55738	24.7
80	55738	23.4
89	55738	22.7
11	55753	23.6
21	55753	23.7
33	55753	23.9
41	55753	24.2
52	55753	24.5
62	55753	24.1
73	55753	24
80	55753	23.7
89	55753	24.6
11	55762	19.7
21	55762	19.8
33	55762	20.7
41	55762	21.8
52	55762	22.3
62	55762	21.2
73	55762	21.3
80	55762	23.1
89	55762	21.1
99	55762	22.7
108	55762	23.6
118	55762	25
130	55762	24.8
139	55762	24.7
150	55762	22.7
160	55762	21.4
167	55762	17.3
11	55763	22.6
21	55763	21.2
33	55763	22.1
41	55763	21.9
52	55763	21.9
62	55763	22.3
73	55763	23.8
80	55763	24.7
89	55763	23.8
94	55763	18.3
11	55765	24.5
21	55765	21.9
33	55765	25
41	55765	25.2
52	55765	26.4
62	55765	25.9
73	55765	28
80	55765	27.9
89	55765	27.5
11	55693	21.6
21	55693	23.4
33	55693	22.6
41	55693	21.7
52	55693	23.1
62	55693	22
73	55693	21.7
80	55693	21.8
89	55693	21.7
99	55693	22.9
108	55693	24.8
118	55693	24.5
130	55693	24.3
11	55695	22.3
21	55695	22.8
33	55695	22.9
41	55695	22.1
52	55695	23.1
62	55695	23.2
73	55695	23
80	55695	24
89	55695	24.1
99	55695	25.8
108	55695	27.1
118	55695	26.1
130	55695	24.7
139	55695	23
150	55695	21.4
160	55695	18
11	55722	21.5
21	55722	22.4
33	55722	23.4
41	55722	23.2
52	55722	23.1
62	55722	22.4
73	55722	23.3
80	55722	23.4
89	55722	24.4
99	55722	26
108	55722	27.1
118	55722	27.8
130	55722	27.7
139	55722	25
150	55722	22.6
160	55722	19.8
164	55722	17.8
11	55725	23
21	55725	23.4
33	55725	24
41	55725	24.2
52	55725	25.1
62	55725	25.8
73	55725	24.4
80	55725	24.6
89	55725	23.1
99	55725	25.2
11	55737	24.4
21	55737	24.2
33	55737	23.6
41	55737	24.4
52	55737	25
62	55737	25.8
73	55737	25.7
80	55737	25.2
89	55737	25.9
99	55737	27.2
108	55737	27.1
118	55737	28.1
130	55737	28.1
11	55747	21.3
21	55747	22.1
33	55747	22.1
41	55747	21
52	55747	21.9
62	55747	22.5
73	55747	22.6
80	55747	22.7
89	55747	23
99	55747	26.2
108	55747	26.3
118	55747	26.6
130	55747	26.4
139	55747	24.8
150	55747	21.8
160	55747	15.7
11	55761	21.2
21	55761	24.3
33	55761	21.8
41	55761	22.7
52	55761	24.2
62	55761	23.2
73	55761	24.8
80	55761	23.8
89	55761	25
99	55761	27.2
108	55761	28
118	55761	28.6
130	55761	27.8
139	55761	25.6
150	55761	25
160	55761	20.6
164	55761	17.8
11	55764	22.5
21	55764	21.6
33	55764	21.3
41	55764	21.6
52	55764	21.8
62	55764	22.2
73	55764	21.8
80	55764	21.9
89	55764	21.8
99	55764	23.6
108	55764	24.8
118	55764	26.4
130	55764	25.7
139	55764	26.4
150	55764	25
160	55764	20.8
171	55764	17
11	55772	28.4
21	55772	30.6
33	55772	31.1
41	55772	31.2
52	55772	31.1
62	55772	31.8
73	55772	31.5
80	55772	32.1
89	55772	30.6
99	55772	33.6
108	55772	34.7
118	55772	35.3
130	55772	32.2
139	55772	29
150	55772	24.9
151	55772	22.3
